"No.","Time","Source","Destination","Protocol","Length","Info"
"31","1.848023","10.215.173.2","10.215.173.1","DNS","300","Standard query response 0x1b85 A us.find.api.micloud.xiaomi.net CNAME us-find-micloud-xiaomi-net-443-498879065.us-west-2.elb.amazonaws.com A 44.224.119.95 A 35.80.168.4 A 52.37.140.55 A 34.215.38.14 A 54.149.197.19 A 35.81.139.80"
"32","1.848836","10.215.173.2","10.215.173.1","DNS","124","Standard query response 0x20d7 A www.google.com A 142.250.184.228"
"33","1.849294","10.215.173.2","10.215.173.1","DNS","140","Standard query response 0xf375 A notifications-pa.googleapis.com A 142.250.185.138"
"34","1.873861","10.215.173.1","142.250.185.99","TCP","108","44914  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3709765717 TSecr=0 WS=256"
"35","1.877628","10.215.173.1","142.250.185.138","TCP","108","44204  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635218598 TSecr=0 WS=256"
"36","1.881175","10.215.173.1","44.224.119.95","TCP","108","54562  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1504745169 TSecr=0 WS=256"
"37","1.887073","10.215.173.1","44.224.119.95","TCP","108","54564  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1504745170 TSecr=0 WS=256"
"38","1.889585","10.215.173.1","142.250.184.228","QUIC","1324","Initial, DCID=4783d78c20ac15b7, PKN: 1, PING, PING, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, PING, PADDING"
"39","1.894360","10.215.173.1","142.250.186.36","TCP","108","44910  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=137616876 TSecr=0 WS=256"
"40","1.896973","10.215.173.1","142.250.184.228","TCP","108","58980  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916454206 TSecr=0 WS=256"
"41","1.909924","10.215.173.1","142.250.185.138","TCP","108","44214  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635218606 TSecr=0 WS=256"
"42","1.914357","10.215.173.1","108.156.28.127","TCP","108","51170  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=338501339 TSecr=0 WS=256"
"43","1.918230","10.215.173.1","108.156.28.127","TCP","108","51174  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=338501341 TSecr=0 WS=256"
"44","1.923964","10.215.173.1","10.215.173.2","DNS","112","Standard query 0x89e2 A www.googleapis.com"
"45","1.925058","10.215.173.2","10.215.173.1","DNS","124","Standard query response 0x85ad A www.google.com A 142.250.185.196"
"46","2.005738","10.215.173.1","10.215.173.2","DNS","124","Standard query 0x2aa4 A notifications-pa.googleapis.com"
"47","2.036134","10.147.170.48","142.250.181.234","QUIC","608","Protected Payload (KP0)"
"48","2.115012","10.215.173.2","10.215.173.1","DNS","368","Standard query response 0x89e2 A www.googleapis.com A 142.250.181.234 A 172.217.16.138 A 216.58.212.170 A 142.250.74.202 A 142.250.186.42 A 142.250.186.74 A 142.250.186.106 A 142.250.186.138 A 142.250.186.170 A 172.217.18.106 A 142.250.185.106 A 142.250.185.138 A 142.250.185.170 A 142.250.185.202 A 142.250.185.234 A 142.250.184.234"
"49","2.115408","10.215.173.2","10.215.173.1","DNS","140","Standard query response 0x2aa4 A notifications-pa.googleapis.com A 142.250.185.106"
"50","2.118024","10.215.173.1","142.250.185.106","TCP","108","52700  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2494031346 TSecr=0 WS=256"
"51","2.159458","10.215.173.1","142.250.184.228","TCP","108","59010  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916454497 TSecr=0 WS=256"
"52","2.204672","10.215.173.1","142.250.184.228","TCP","108","59014  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916454549 TSecr=0 WS=256"
"53","2.257439","10.215.173.1","142.250.185.138","TCP","108","44250  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635219001 TSecr=0 WS=256"
"54","2.723323","10.215.173.1","142.250.186.106","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 39004  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1193079742 TSecr=0 WS=256"
"55","2.755736","10.215.173.1","172.67.137.34","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 34498  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3291322359 TSecr=0 WS=256"
"56","2.787043","10.215.173.1","172.217.23.106","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59032  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3525201691 TSecr=0 WS=256"
"57","2.819079","10.215.173.1","142.250.185.194","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54648  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3661277990 TSecr=0 WS=256"
"58","2.823048","10.215.173.1","142.250.74.202","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54702  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3430268197 TSecr=0 WS=256"
"59","2.851069","10.215.173.1","161.117.96.24","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 57886  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4224490861 TSecr=0 WS=256"
"60","2.851363","10.147.170.48","47.241.56.110","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 37244  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2300169048 TSecr=0 WS=256"
"61","2.883158","10.215.173.1","108.156.28.127","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 51174  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=338502341 TSecr=0 WS=256"
"62","2.883209","10.215.173.1","108.156.28.127","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 51170  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=338502341 TSecr=0 WS=256"
"63","2.883227","10.215.173.1","142.250.185.138","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44214  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635219627 TSecr=0 WS=256"
"64","2.883248","10.215.173.1","44.224.119.95","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54564  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1504746197 TSecr=0 WS=256"
"65","2.883264","10.215.173.1","44.224.119.95","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54562  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1504746197 TSecr=0 WS=256"
"66","2.883279","10.215.173.1","142.250.185.99","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44914  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3709766747 TSecr=0 WS=256"
"67","2.883294","10.215.173.1","161.117.71.92","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41948  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3056471409 TSecr=0 WS=256"
"68","2.883311","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 58980  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916455229 TSecr=0 WS=256"
"69","2.883325","10.215.173.1","142.250.186.36","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44910  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=137617901 TSecr=0 WS=256"
"70","2.883339","10.215.173.1","142.250.185.138","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44204  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635219628 TSecr=0 WS=256"
"71","2.941461","10.147.170.48","142.250.181.234","QUIC","108","Protected Payload (KP0)"
"72","3.079093","10.215.173.1","161.117.185.166","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 58454  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2858634710 TSecr=0 WS=256"
"73","3.095486","10.215.173.1","142.250.184.228","QUIC","1324","Initial, DCID=4783d78c20ac15b7, PKN: 3, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO"
"74","3.105571","10.215.173.1","10.215.173.2","DNS","108","Standard query 0xc67e A inbox.google.com"
"75","3.139045","10.215.173.1","142.250.185.106","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 52700  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2494032368 TSecr=0 WS=256"
"76","3.171079","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59010  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916455516 TSecr=0 WS=256"
"77","3.203747","10.147.170.48","142.250.181.234","QUIC","112","Protected Payload (KP0)"
"78","3.235711","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59014  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916455580 TSecr=0 WS=256"
"79","3.267129","10.215.173.1","142.250.185.138","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44250  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635220011 TSecr=0 WS=256"
"80","3.332341","10.215.173.1","10.215.173.2","DNS","112","Standard query 0x93dd A play.googleapis.com"
"81","3.380786","10.215.173.2","10.215.173.1","DNS","124","Standard query response 0xc67e A inbox.google.com A 142.250.186.101"
"82","3.380914","10.215.173.2","10.215.173.1","DNS","128","Standard query response 0x93dd A play.googleapis.com A 216.58.212.170"
"83","3.383423","10.215.173.1","142.250.186.101","TCP","108","41970  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1596271589 TSecr=0 WS=256"
"84","3.385632","10.215.173.1","142.250.186.101","TCP","108","41972  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1596271590 TSecr=0 WS=256"
"85","3.389435","10.215.173.1","216.58.212.170","QUIC","1324","Initial, DCID=838d545c6af1eeb4, PKN: 1, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO"
"86","3.389770","10.215.173.1","216.58.212.170","QUIC","152","0-RTT, DCID=838d545c6af1eeb4"
"87","3.686268","10.215.173.1","142.250.184.228","TCP","108","59030  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916456030 TSecr=0 WS=256"
"88","3.779403","10.215.173.1","216.58.212.170","QUIC","1324","Initial, DCID=838d545c6af1eeb4, PKN: 4, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO"
"89","4.387318","10.215.173.1","142.250.186.101","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41970  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1596272593 TSecr=0 WS=256"
"90","4.391128","10.215.173.1","142.250.186.101","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41972  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1596272597 TSecr=0 WS=256"
"91","4.531724","10.215.173.1","216.58.212.170","QUIC","1324","Initial, DCID=838d545c6af1eeb4, PKN: 6, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PING, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO"
"92","4.707252","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59030  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916457052 TSecr=0 WS=256"
"93","4.739118","10.215.173.1","142.250.186.106","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 39004  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1193081758 TSecr=0 WS=256"
"94","4.775073","10.215.173.1","172.67.137.34","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 34498  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3291324379 TSecr=0 WS=256"
"95","4.807070","10.215.173.1","172.217.23.106","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59032  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3525203711 TSecr=0 WS=256"
"96","4.835286","10.215.173.1","142.250.185.194","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54648  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3661280006 TSecr=0 WS=256"
"97","4.835428","10.215.173.1","142.250.74.202","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54702  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3430270209 TSecr=0 WS=256"
"98","4.860825","10.215.173.1","10.215.173.2","DNS","116","Standard query 0x0281 A data.sec.intl.miui.com"
"99","4.871034","10.215.173.1","161.117.96.24","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 57886  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4224492881 TSecr=0 WS=256"
"100","4.899022","10.215.173.1","142.250.185.99","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44914  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3709768762 TSecr=0 WS=256"
"101","4.899057","10.215.173.1","142.250.185.138","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44214  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635221643 TSecr=0 WS=256"
"102","4.899066","10.215.173.1","142.250.185.138","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44204  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635221643 TSecr=0 WS=256"
"103","4.899073","10.215.173.1","142.250.186.36","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44910  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=137619916 TSecr=0 WS=256"
"104","4.899079","10.215.173.1","44.224.119.95","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54562  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1504748213 TSecr=0 WS=256"
"105","4.899087","10.215.173.1","44.224.119.95","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 54564  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1504748213 TSecr=0 WS=256"
"106","4.899098","10.215.173.1","108.156.28.127","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 51174  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=338504357 TSecr=0 WS=256"
"107","4.903067","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 58980  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916457248 TSecr=0 WS=256"
"108","4.903102","10.215.173.1","108.156.28.127","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 51170  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=338504361 TSecr=0 WS=256"
"109","5.113964","10.215.173.1","10.215.173.2","DNS","108","Standard query 0x8fc4 A g.whatsapp.net"
"110","5.155103","10.215.173.1","142.250.185.106","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 52700  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2494034384 TSecr=0 WS=256"
"111","5.187149","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59010  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916457532 TSecr=0 WS=256"
"112","5.251098","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59014  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916457596 TSecr=0 WS=256"
"113","5.283061","10.215.173.1","142.250.185.138","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 44250  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2635222027 TSecr=0 WS=256"
"114","5.342982","10.215.173.2","10.215.173.1","DNS","204","Standard query response 0x0281 A data.sec.intl.miui.com CNAME extranet.ap-southeast-1.miui-l7-sec.rnfliwmiif.elb.xiaomi.com A 161.117.57.135"
"115","5.352945","10.215.173.1","161.117.57.135","TCP","108","35992  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=9473106 TSecr=0 WS=256"
"116","5.360800","10.215.173.2","10.215.173.1","DNS","148","Standard query response 0x8fc4 A g.whatsapp.net CNAME chat.cdn.whatsapp.net A 157.240.195.54"
"117","5.377142","10.215.173.1","157.240.195.54","TCP","108","49750  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=876326772 TSecr=0 WS=256"
"118","5.535449","10.215.173.1","142.250.184.228","QUIC","1324","Initial, DCID=4783d78c20ac15b7, PKN: 5, PING, PING, PADDING, PING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO"
"119","5.764023","10.215.173.1","10.215.173.2","DNS","108","Standard query 0x0df0 A time.android.com"
"120","5.782270","10.215.173.1","10.215.173.2","DNS","112","Standard query 0xe2d7 A static.whatsapp.net"
"121","5.895282","10.215.173.1","142.250.184.228","QUIC","1324","Initial, DCID=4783d78c20ac15b7, PKN: 6, CC, PADDING"
"122","5.984515","10.215.173.1","216.58.212.170","QUIC","1324","Initial, DCID=838d545c6af1eeb4, PKN: 8, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO"
"123","6.371199","10.215.173.1","157.240.195.54","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 49750  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=876327779 TSecr=0 WS=256"
"124","6.371311","10.215.173.1","161.117.57.135","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 35992  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=9474130 TSecr=0 WS=256"
"125","6.403131","10.215.173.1","142.250.186.101","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41972  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1596274609 TSecr=0 WS=256"
"126","6.403166","10.215.173.1","142.250.186.101","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41970  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1596274609 TSecr=0 WS=256"
"127","6.723104","10.215.173.1","142.250.184.228","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 59030  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2916459068 TSecr=0 WS=256"
"128","7.011022","10.215.173.1","161.117.71.92","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41948  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3056475536 TSecr=0 WS=256"
"129","7.011181","10.147.170.48","47.241.56.110","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 37244  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2300173207 TSecr=0 WS=256"
"130","7.267024","10.215.173.1","161.117.185.166","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 58454  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2858638898 TSecr=0 WS=256"
"131","7.423296","10.215.173.1","216.58.212.170","QUIC","1324","0-RTT, DCID=838d545c6af1eeb4"
"132","7.427578","10.215.173.1","216.58.212.170","QUIC","1324","Initial, DCID=326b873e1261f8e1, PKN: 1, PADDING, CRYPTO, CRYPTO, CRYPTO"
"133","7.428106","10.215.173.1","216.58.212.170","QUIC","152","0-RTT, DCID=326b873e1261f8e1"
"134","7.429380","10.215.173.1","216.58.212.170","TCP","108","35354  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=136267340 TSecr=0 WS=256"
"135","7.440907","10.215.173.2","10.215.173.1","DNS","172","Standard query response 0x0df0 A time.android.com A 216.239.35.4 A 216.239.35.8 A 216.239.35.12 A 216.239.35.0"
"136","7.447187","10.215.173.1","216.239.35.4","NTP","124","NTP Version 3, client"
"137","7.564784","10.215.173.2","10.215.173.1","DNS","152","Standard query response 0xe2d7 A static.whatsapp.net CNAME mmx-ds.cdn.whatsapp.net A 157.240.195.56"
"138","7.567498","10.215.173.1","157.240.195.56","TCP","108","36202  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=308182336 TSecr=0 WS=256"
"139","7.723234","10.215.173.1","216.58.212.170","TCP","108","35362  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=136267634 TSecr=0 WS=256"
"140","8.063291","10.215.173.1","47.241.72.88","TCP","108","33002  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2908466351 TSecr=0 WS=256"
"141","8.387048","10.215.173.1","157.240.195.54","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 49750  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=876329795 TSecr=0 WS=256"
"142","8.391087","10.215.173.1","161.117.57.135","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 35992  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=9476150 TSecr=0 WS=256"
